title_en,title_ar,category,file_url,file_name,description_en,description_ar,thumbnail_url
PIANO,,datasheets,https://nlc.com.sa/datasheets/piano.pdf,piano.pdf,,,
PILLAR,,datasheets,https://nlc.com.sa/datasheets/pillar.pdf,pillar.pdf,,,
PIXEL,,datasheets,https://nlc.com.sa/datasheets/pixel.pdf,pixel.pdf,,,
PL-01,,datasheets,https://nlc.com.sa/datasheets/pl-01.pdf,pl-01.pdf,,,
PL-02,,datasheets,https://nlc.com.sa/datasheets/pl-02.pdf,pl-02.pdf,,,
PL-03,,datasheets,https://nlc.com.sa/datasheets/pl-03.pdf,pl-03.pdf,,,
PLAZMA,,datasheets,https://nlc.com.sa/datasheets/plazma.pdf,plazma.pdf,,,
PROJECTO,,datasheets,https://nlc.com.sa/datasheets/projecto.pdf,projecto.pdf,,,
QUAD,,datasheets,https://nlc.com.sa/datasheets/quad.pdf,quad.pdf,,,
RIBBON,,datasheets,https://nlc.com.sa/datasheets/ribbon.pdf,ribbon.pdf,,,
SCORPION,,datasheets,https://nlc.com.sa/datasheets/scorpion.pdf,scorpion.pdf,,,
SCOUT,,datasheets,https://nlc.com.sa/datasheets/scout.pdf,scout.pdf,,,
SHELL,,datasheets,https://nlc.com.sa/datasheets/shell.pdf,shell.pdf,,,
SLEEK,,datasheets,https://nlc.com.sa/datasheets/sleek.pdf,sleek.pdf,,,
SM-01,,datasheets,https://nlc.com.sa/datasheets/sm-01.pdf,sm-01.pdf,,,
SM-05,,datasheets,https://nlc.com.sa/datasheets/sm-05.pdf,sm-05.pdf,,,
SM-07,,datasheets,https://nlc.com.sa/datasheets/sm-07.pdf,sm-07.pdf,,,
SOLID,,datasheets,https://nlc.com.sa/datasheets/solid.pdf,solid.pdf,,,
SPARKLE,,datasheets,https://nlc.com.sa/datasheets/sparkle.pdf,sparkle.pdf,,,
SPECTRA-SLIM,,datasheets,https://nlc.com.sa/datasheets/spectra-slim.pdf,spectra-slim.pdf,,,
SPECTRA,,datasheets,https://nlc.com.sa/datasheets/spectra.pdf,spectra.pdf,,,
